ID,Name,Station,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years,Filename
1410,Savenes,SMOSMANIA,43.825,1.1767,158,0.1-0.1,0.1,2007,2019,NA,0,13,/home/xosto002/Beachelor_thesis/SMOSMANIA/Sabres/SMOSMANIA_SMOSMANIA_Sabres_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1411,Savenes,SMOSMANIA,43.825,1.1767,158,0.1-0.1,0.1,2019,2024,NA,0,6,/home/xosto002/Beachelor_thesis/SMOSMANIA/SaintFelixdeLauragais/SMOSMANIA_SMOSMANIA_SaintFelixdeLauragais_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1412,Savenes,SMOSMANIA,43.825,1.1767,158,0.2-0.2,0.2,2007,2019,NA,0,13,/home/xosto002/Beachelor_thesis/SMOSMANIA/SaintFelixdeLauragais/SMOSMANIA_SMOSMANIA_SaintFelixdeLauragais_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1413,Savenes,SMOSMANIA,43.825,1.1767,158,0.2-0.2,0.2,2019,2024,NA,0,6,/home/xosto002/Beachelor_thesis/SMOSMANIA/SaintFelixdeLauragais/SMOSMANIA_SMOSMANIA_SaintFelixdeLauragais_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1414,Savenes,SMOSMANIA,43.825,1.1767,158,0.3-0.3,0.3,2007,2019,NA,0,13,/home/xosto002/Beachelor_thesis/SMOSMANIA/SaintFelixdeLauragais/SMOSMANIA_SMOSMANIA_SaintFelixdeLauragais_sm_0.200000_0.200000_ThetaProbe-ML3_19500101_20241016.stm
1415,Savenes,SMOSMANIA,43.825,1.1767,158,0.3-0.3,0.3,2019,2024,NA,0,6,/home/xosto002/Beachelor_thesis/SMOSMANIA/SaintFelixdeLauragais/SMOSMANIA_SMOSMANIA_SaintFelixdeLauragais_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1416,Urgons,SMOSMANIA,43.6397,-0.435,145,0.05-0.05,0.05,2007,2023,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Savenes/SMOSMANIA_SMOSMANIA_Savenes_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1417,Urgons,SMOSMANIA,43.6397,-0.435,145,0.1-0.1,0.1,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Savenes/SMOSMANIA_SMOSMANIA_Savenes_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1418,Urgons,SMOSMANIA,43.6397,-0.435,145,0.2-0.2,0.2,2007,2016,NA,0,10,/home/xosto002/Beachelor_thesis/SMOSMANIA/Savenes/SMOSMANIA_SMOSMANIA_Savenes_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1419,Urgons,SMOSMANIA,43.6397,-0.435,145,0.2-0.2,0.2,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Savenes/SMOSMANIA_SMOSMANIA_Savenes_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
